Topic Id,Top Words...
0,â fo faid 1 fee man fuch fhe thefe fome great time fay good fame wife hall houfe fays œ
1,day water put great half make money days good 2 fire mole time place till made part twenty feet 3
2,â tom ll de iâ 1 wife john dear poor man day good bed back night made house woman time
3,men â king scotland sir time st made great army country john english œ lord wallace battle earl england enemy
4,king george man made jack time great put told day court â money ing good gave 1 poor kingâ giant
5,â œ man time good great house dream 1 life day long love found father person young mr made place
6,god â thy lord thou thee ye 1 hath death chrift christ world œ day word heaven grace faith people
7,â 1 ft ii ot id tâ 4 ti er ir iâ ne ar fi wi cf ia 11 3
8,â love iâ ll er thee heart dear thy oâ 1 thou fair day young bonny sweet night man true
9,oâ ye â aâ wiâ anâ ll nae er iâ sae hae man auld frae wad yeâ weel na day
